Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,4225.000000,4275.000000,4200.000000,4225.000000,4019.821289,44464800
2022-08-16,4275.000000,4325.000000,4237.500000,4262.500000,4055.500244,109260400
2022-08-18,4387.500000,4400.000000,4287.500000,4300.000000,4091.179199,116693200
2022-08-19,4300.000000,4325.000000,4250.000000,4250.000000,4043.607178,48290200
2022-08-22,4212.500000,4275.000000,4175.000000,4262.500000,4055.500244,121399800
2022-08-23,4250.000000,4337.500000,4225.000000,4312.500000,4103.072266,95553400
2022-08-24,4300.000000,4350.000000,4275.000000,4312.500000,4103.072266,60958200
2022-08-25,4275.000000,4312.500000,4212.500000,4287.500000,4079.286133,77254800
2022-08-26,4312.500000,4325.000000,4250.000000,4250.000000,4043.607178,82356600
2022-08-29,4200.000000,4300.000000,4175.000000,4275.000000,4067.393066,62683800
2022-08-30,4312.500000,4375.000000,4287.500000,4325.000000,4114.964844,109649400
2022-08-31,4250.000000,4425.000000,4225.000000,4425.000000,4210.108887,151631600
2022-09-01,4425.000000,4475.000000,4337.500000,4462.500000,4245.787598,120967800
2022-09-02,4487.500000,4500.000000,4362.500000,4425.000000,4210.108887,90044600
2022-09-05,4425.000000,4500.000000,4400.000000,4475.000000,4257.680664,60491000
2022-09-06,4487.500000,4500.000000,4400.000000,4412.500000,4198.215820,65296200
2022-09-07,4387.500000,4437.500000,4362.500000,4437.500000,4222.001465,97771400
2022-09-08,4450.000000,4550.000000,4412.500000,4475.000000,4257.680664,96931000
2022-09-09,4537.500000,4550.000000,4475.000000,4537.500000,4317.145508,128510800
2022-09-12,4575.000000,4600.000000,4537.500000,4587.500000,4364.717285,110819000
2022-09-13,4625.000000,4750.000000,4612.500000,4725.000000,4495.540039,185487800
2022-09-14,4637.500000,4700.000000,4600.000000,4650.000000,4424.182129,119631200
2022-09-15,4700.000000,4750.000000,4650.000000,4675.000000,4447.967773,156750600
2022-09-16,4637.500000,4650.000000,4512.500000,4550.000000,4329.038574,167812600
2022-09-19,4625.000000,4650.000000,4575.000000,4612.500000,4388.502930,137396600
2022-09-20,4662.500000,4687.500000,4600.000000,4600.000000,4376.610352,140752200
2022-09-21,4575.000000,4637.500000,4550.000000,4637.500000,4412.289063,71044400
2022-09-22,4637.500000,4650.000000,4587.500000,4600.000000,4376.610352,96479200
2022-09-23,4600.000000,4625.000000,4575.000000,4600.000000,4376.610352,61877000
2022-09-26,4562.500000,4687.500000,4475.000000,4625.000000,4400.395996,133769600
2022-09-27,4625.000000,4675.000000,4600.000000,4675.000000,4447.967773,130959400
2022-09-28,4725.000000,4800.000000,4637.500000,4650.000000,4424.182129,133085000
2022-09-29,4675.000000,4687.500000,4600.000000,4625.000000,4400.395996,67945200
2022-09-30,4650.000000,4712.500000,4612.500000,4712.500000,4483.646973,113501000
2022-10-03,4662.500000,4687.500000,4612.500000,4637.500000,4412.289063,54662400
2022-10-04,4650.000000,4687.500000,4612.500000,4612.500000,4388.502930,90247000
2022-10-05,4650.000000,4737.500000,4637.500000,4637.500000,4412.289063,75891600
2022-10-06,4650.000000,4662.500000,4612.500000,4662.500000,4436.075195,43279200
2022-10-07,4662.500000,4712.500000,4637.500000,4712.500000,4483.646973,51267000
2022-10-10,4687.500000,4700.000000,4637.500000,4650.000000,4424.182129,55465000
2022-10-11,4712.500000,4712.500000,4625.000000,4650.000000,4424.182129,71925600
2022-10-12,4687.500000,4750.000000,4650.000000,4712.500000,4483.646973,118731400
2022-10-13,4750.000000,4775.000000,4662.500000,4737.500000,4507.432617,58832000
2022-10-14,4825.000000,4825.000000,4687.500000,4700.000000,4471.753906,106401600
2022-10-17,4725.000000,4737.500000,4650.000000,4725.000000,4495.540039,60905200
2022-10-18,4750.000000,4787.500000,4725.000000,4750.000000,4519.325684,67904400
2022-10-19,4687.500000,4787.500000,4662.500000,4737.500000,4507.432617,71544800
2022-10-20,4675.000000,4962.500000,4675.000000,4950.000000,4709.613281,102422400
2022-10-21,5000.000000,5225.000000,4962.500000,5175.000000,4923.686523,183987800
2022-10-24,5162.500000,5250.000000,5125.000000,5125.000000,4876.114746,102168000
2022-10-25,5137.500000,5225.000000,5112.500000,5112.500000,4864.221680,83305200
2022-10-26,5112.500000,5125.000000,5000.000000,5100.000000,4852.328613,80531400
2022-10-27,5100.000000,5162.500000,5025.000000,5100.000000,4852.328613,84531200
2022-10-28,5062.500000,5112.500000,5050.000000,5100.000000,4852.328613,102437400
2022-10-31,5150.000000,5275.000000,5112.500000,5275.000000,5018.830078,173874600
2022-11-01,5300.000000,5300.000000,5112.500000,5200.000000,4947.472168,111898000
2022-11-02,5187.500000,5200.000000,4987.500000,5037.500000,4792.863770,127515400
2022-11-03,4975.000000,5100.000000,4975.000000,5087.500000,4840.435547,119598600
2022-11-04,5012.500000,5075.000000,5000.000000,5075.000000,4828.542969,70781200
2022-11-07,5087.500000,5125.000000,5000.000000,5125.000000,4876.114746,98034400
2022-11-08,5137.500000,5137.500000,5037.500000,5075.000000,4828.542969,39585800
2022-11-09,5025.000000,5075.000000,5025.000000,5075.000000,4828.542969,68010400
2022-11-10,5025.000000,5075.000000,5000.000000,5050.000000,4804.756836,61964000
2022-11-11,5150.000000,5225.000000,5112.500000,5212.500000,4959.365234,102008200
2022-11-14,5275.000000,5275.000000,5075.000000,5125.000000,4876.114746,61055200
2022-11-15,5150.000000,5150.000000,5050.000000,5125.000000,4876.114746,83000800
2022-11-16,5050.000000,5087.500000,4950.000000,5000.000000,4757.185059,128257800
2022-11-17,4925.000000,5012.500000,4925.000000,4950.000000,4709.613281,167562600
2022-11-18,4975.000000,5112.500000,4962.500000,5087.500000,4840.435547,111646200
2022-11-21,5087.500000,5100.000000,5012.500000,5050.000000,4804.756836,52311600
2022-11-22,5025.000000,5125.000000,5025.000000,5062.500000,4816.649902,79850600
2022-11-23,5062.500000,5150.000000,5062.500000,5100.000000,4852.328613,78250600
2022-11-24,5112.500000,5150.000000,5100.000000,5112.500000,4864.221680,59701400
2022-11-25,5112.500000,5112.500000,5050.000000,5087.500000,4840.435547,77984800
2022-11-28,5087.500000,5137.500000,5062.500000,5062.500000,4816.649902,64779000
2022-11-29,5125.000000,5225.000000,5100.000000,5162.500000,4911.793457,72261000
2022-11-30,5162.500000,5400.000000,5162.500000,5262.500000,5006.937012,347136800
2022-12-01,5262.500000,5325.000000,5200.000000,5200.000000,4947.472168,141493000
2022-12-02,5200.000000,5262.500000,5162.500000,5262.500000,5006.937012,70811400
2022-12-05,5325.000000,5500.000000,5287.500000,5437.500000,5173.438477,146472800
2022-12-06,5437.500000,5500.000000,5362.500000,5450.000000,5185.331543,139360200
2022-12-07,5312.500000,5350.000000,5187.500000,5187.500000,4935.579590,200886200
2022-12-08,5037.500000,5112.500000,4987.500000,5025.000000,4780.970703,279908400
2022-12-09,4975.000000,5025.000000,4912.500000,4962.500000,4721.505859,241338200
2022-12-12,4912.500000,5000.000000,4887.500000,4975.000000,4733.398926,183717600
2022-12-13,4887.500000,5000.000000,4887.500000,4950.000000,4709.613281,224176000
2022-12-14,5037.500000,5050.000000,4975.000000,4975.000000,4733.398926,162689200
2022-12-15,4950.000000,5012.500000,4950.000000,4950.000000,4709.613281,82673400
2022-12-16,4912.500000,5050.000000,4912.500000,5050.000000,4804.756836,770252400
2022-12-19,5000.000000,5037.500000,4950.000000,5000.000000,4757.185059,100871400
2022-12-20,5000.000000,5025.000000,4975.000000,5025.000000,4780.970703,56633800
2022-12-21,5062.500000,5062.500000,5000.000000,5000.000000,4757.185059,37945200
2022-12-22,5050.000000,5050.000000,4975.000000,4975.000000,4733.398926,78836200
2022-12-23,4950.000000,5000.000000,4950.000000,4962.500000,4721.505859,38571200
2022-12-26,4987.500000,5025.000000,4975.000000,5025.000000,4780.970703,19578800
2022-12-27,5025.000000,5025.000000,4937.500000,4975.000000,4733.398926,43282000
2022-12-28,5000.000000,5000.000000,4925.000000,4987.500000,4745.291992,30258400
2022-12-29,4950.000000,4987.500000,4937.500000,4987.500000,4745.291992,56981400
2022-12-30,5000.000000,5025.000000,4962.500000,4962.500000,4721.505859,40655800
2023-01-02,4962.500000,4987.500000,4937.500000,4937.500000,4697.720215,5985400
2023-01-03,4925.000000,4987.500000,4925.000000,4975.000000,4733.398926,13815200
2023-01-04,5012.500000,5037.500000,4987.500000,5012.500000,4769.078125,38575800
2023-01-05,5025.000000,5025.000000,4862.500000,4912.500000,4673.934082,84945800
